texts,LN1,LN2,LN3,LN4,LN5,LN6,LN7,LN8,LN9,LN10,sentence_index
原告中国华融资产管理股份有限公司浙江省分公司起诉称：,0,0,0,0,0,0,0,0,0,0,2834
被告是兰考县扶贫办推荐的农户，根据合作协议，兰考县农村信用合作联社和被告签订了一份《个人借款合同》，合同约定，被告借款5万元用于养鸭，借款期限为12个月，从2015年7月2日起至2016年7月2日止，贷款利率为月利率6‰，逾期贷款罚息按原借款利率基础上加收50%。,0,1,1,1,0,0,0,0,0,0,1799
依据《中华人民共和国民事诉讼法》第一百四十四条，《中华人民共和国民法通则》第一百零八条，《中华人民共和国合同法》第八十条第一款，《最高人民法院关于审理涉及金融资产管理公司收购、管理、处置国有银行不良贷款形成的资产的案件适用法律若干问题的规定》第九条之规定，判决如下：,0,0,0,0,0,0,0,0,0,0,2701
中国工商银行陕西省分行与中国长城资产管理公司西安办事处签订的《债权转让协议》列明转让的债权为截止2005年3月20日的贷款本金余额1367900元及截止2005年5月20日的利息余额。,1,0,0,0,0,0,0,0,0,0,1746
蓝带集团公司在该《到逾期贷款催收通知书》的回执保证单位处加盖公章，只是确认债务，并没有继续履行保证合同的意思表示，故根据上述司法解释的规定，不能认定蓝带集团公司与建行肇庆分行达成新的保证关系，其不应继续承担保证责任。,0,0,0,0,0,0,0,1,0,0,6433
但原告浙江省浙商资产管理有限公司优先受偿的范围与其合同编号为2011年抵字第720901-2号《最高额抵押合同》项下担保的其他债权合计不超过90万元。,0,0,1,0,0,0,0,0,0,0,6703
综上，上诉人周莉、张嗣钊的上诉理由成立，本院予以支持，被上诉人桂林市电控设备厂应当按照中国人民银行同期贷款利率的标准，向上诉人周莉、张嗣钊支付2005年8月10日至2012年12月5日期间的债务利息。,0,0,0,0,0,0,0,0,1,0,5927
2009年10月14日，湖南南方水泥集团有限公司向兴湘国资公司支付股权转让款200万元。,0,0,0,0,0,0,0,0,0,0,3998
由于另外500万元的债务已经在（2004）茂中法民一初字第31号案件中和解，本案中第二水泥厂应承担500万元本金、化建公司应承担688万元本金、白土厂应承担150万元本金、添加剂厂应承担100万元本金。,0,0,0,0,0,1,0,0,0,0,2212
八、被告浙江一泰阀门（丽水）制造有限公司对上述第一、二、三、四、五项确定的债务承担连带偿还责任（包括签订的编号为33905201000037598号《最高额保证合同》项下含本案在内的所有提供连带责任保证的债务，以最高额2300万元为限）。,0,0,0,0,0,0,1,0,0,1,7134
本院于2016年12月1日立案受理后，依法适用简易程序，于2017年1月10日公开开庭进行了审理。,0,0,0,0,0,0,0,0,0,0,1612
二、原债权人工行高州支行与原债务人化建公司在2002年9月10日签订相应的《借款展期协议》合法有效，依法应予以确认。,0,0,0,1,0,1,0,0,0,0,2198
经审理查明，大连市金州区农村信用合作联社登沙河信用社，于2008年12月28日向王世宏、吴国宝各发放贷款30000元，共计6万元，月利率均为千分之8.4。,0,1,0,1,0,0,0,0,0,0,6496
一、被告钦州市家用电器厂偿还给原告罗竑借款115万元并支付利息1185639.52元；,0,0,0,0,1,0,0,0,1,0,345
2011年9月13日，信达天津分公司与信达北京分公司签署《资产划转协议》（协议编号：MY-1-2-004），信达北京分公司将该债权依法划转予信达天津分公司即本案原告，并已于2011年9月29日在《金融时报》上就该债权转让依法公告通知债务人、担保人并再次进行催收，但二被告均未履行还款义务。,1,0,0,0,0,0,0,1,0,0,6289
庭后，原告明确第二项诉讼请求，其中被告钱志勇的连带责任包括其签订的保证合同责任以及作为亚太公司股东的连带责任。,0,0,1,0,0,0,1,0,0,1,5248
现我行将上述债权转让的事实公告通知债务人（沈阳展业置地有限公司）及担保人（沈阳展业置地有限公司、舒勇、马桂友及董桂金），请债务人继续向沈阳资信融资担保股份有限公司履行债务，请担保人继续向沈阳资信融资担保股份有限公司承担担保责任。,1,0,0,0,0,0,0,0,0,0,153
1999年，中兴开发公司称准备从建行贷款1000万元，贷款后两家各花一半，用中兴大厦的商用面积担保，中兴经贸公司急需资金就同意了，但没想到建行以此为条件，骗取中兴经贸公司签订1999年9月9日协议后却不再履行贷款合同。,0,0,0,0,0,0,0,0,0,0,4149
对证据10第三人中行与伟莲服饰贸易行不是本案当事人，与本案没有关联性；,0,0,0,0,0,0,0,0,0,0,3503
抵押撤销时，双方当事人还应到土地管理部门办理核销手续。”,0,0,0,0,0,0,0,0,0,0,427
2010年8月2日，武汉四方皇皮商务咨询有限公司（以下简称四方公司）与高士通公司签订《单户投资转让协议》，高士通公司将上述债权及相应的担保债权全部转让给四方公司。,1,0,0,0,0,0,0,0,0,0,5623
2008年6月27日被告在农信社3万元的借款凭证上签字。,0,1,1,0,0,0,0,0,0,0,4108
另，被告维远公司还在2014年2月17日向工行借款20000000元，也由上述最高额抵押合同、最高额保证合同担保，因被告维远公司违约，工行向本院提起诉讼，本院已作出（2014）甬余商初字第1220号民事判决。,0,1,0,1,0,1,0,0,0,1,4355
故被告家电公司应向原告梅艳偿还截止2014年10月31日借款本息，其中本金合计120，000元，利息合计124，004.02元。,0,0,0,0,1,0,0,0,1,0,1124
事实和理由：2013年11月21日，广发银行股份有限公司武汉分行（以下简称广发银行武汉分行）与信诚和公司签署了编号为（2013）鄂F银授合字第38号《授信额度合同》。,0,0,1,1,0,1,0,0,0,0,756
合同签订后，双方依约办理了抵押登记。,0,0,0,0,0,0,0,0,0,0,6193
2012年3月30日，建行深圳分行依约于将8000000元发放至被告普华公司账户。,0,1,0,0,0,0,0,0,0,0,7388
二、东莞市奥朗化工商贸有限公司应于本判决发生法律效力之日起五日内向张梅英偿还贷款本金10927928元及支付利息、罚息，利息、罚息按照以下方式计算：截止到2015年3月21日，利息184107.4元、本金罚息56025元、利息罚息2010.54元；,0,1,0,0,1,0,0,0,1,0,1885
中国工商银行吉林市分行吉林大街支行向国春地产公司提供了800万元贷款，国春地产公司逾期没有偿还全部借款本息，尚欠借款本金622.4万元及利息，构成违约，应当承担继续履行还本付息的违约责任。,0,1,0,0,0,0,0,0,0,0,4535
被告吴志新对上述案件受理费、公告费的履行承担连带清偿责任；,0,0,0,0,0,0,0,0,0,0,3411
在原债权人转让债权之后，有关担保的从权利一并转让由受让人即原告取得，被告晨泰集团有限公司、温州拓博塑料制品有限公司、章庆乐、山东拓博塑料制品有限公司、山东拓博昊源化工有限公司、山东博尔德化工有限公司自愿为上述债务提供最高额保证，应依据《最高额不可撤销担保书》的约定继续承担保证责任，承担连带清偿责任后，有权向被告浙江拓源贸易有限公司追偿。,1,0,0,0,0,0,1,0,0,0,1408
二、被告上海银皓汽配制造有限公司、王育银、翁春燕、王琴斯、钱志勇对上述第一项债务承担连带清偿责任，但包括上述债务在内，被告上海银皓汽配制造有限公司对其签订的编号3520125338-6号《最高额保证合同》项下所有主债务承担连带清偿责任的总额以2000万元为限；,0,0,1,0,0,0,1,0,0,1,5266
二、若被告温州市金汇不锈钢制造有限公司未能偿还上述第一项债务，则原告中国信达资产管理股份有限公司浙江省分公司对被告温州市金汇不锈钢制造有限公司名下位于温州市龙湾区海滨街道沙中村工业区的国有土地使用权【国有土地使用权证号：温国用（2003）字第2-85号】折价或者拍卖、变卖所得款项在优先偿还合同编号NO33010120130031283的《流动资金借款合同》项下债务后优先受偿（包括合同编号NO33100620130041026的《最高额抵押合同》项下含本案在内的所有提供抵押担保债务，担保债务总额以最高额人民币1368万元为限，担保本案债务以259.4万元为限）；,0,0,1,0,0,0,0,0,0,0,5581
依据该协议，江苏银行已将对清单中列明的债务人及其担保人享有的主债权及担保合同项下的全部权利，依法转让给东方资产公司。,1,0,0,0,0,0,0,0,0,0,916
2005年7月23日，中国工商银行山东省分行与中国长城资产管理公司济南办事处签订债权转让协议，将上述债权本金3000000元及利息转让给中国长城资产管理公司济南办事处。,1,0,0,0,0,0,0,0,0,0,6837
现原告诉至本院要求被告浙江拓源贸易有限公司清偿上述债务，符合法律规定及原借款合同的约定，本院予以支持，但复利部分应以期内未还利息为基数从借款逾期之日起计算。,0,0,0,0,1,0,0,0,0,0,1407
美元本金1482万元，利息12203289.39美元。,0,0,0,0,0,0,0,0,0,0,6547
因此，被告岱嵩村委会应支付的债务本金及利息以长城资产公司福州办2002年10月29日拍卖注明的金额为准，即被告岱嵩村委会应偿还的债务金额为人民币217527.26元（其中本金70000元，利息147527.26元）。,0,0,0,0,1,0,0,0,1,0,5854
二、被告瑞安市博登鞋业有限公司、胡新国对本判决第一项款项的清偿承担连带保证责任；,0,0,0,0,0,0,1,0,0,0,5159
本院再审另查明，2016年8月8日，工商银行斗门支行向本院出具一份《证明》称，借款人长虹公司于1993年开始向该行陆续申请多笔借款，金额共6096万元。,0,1,1,1,1,1,0,0,0,0,727
但根据本院查明的事实，本案《中国工商银行佛山企业流动资金借款合同》已明确约定，被告五金电器一厂与中国工商银行佛山分行另订立的抵押合同，并不改变被告五金公司在本合同中的法律地位，也不能因此免除其应承担的连带责任。,0,0,1,0,0,0,0,0,0,0,4436
七、被告陈建伟、被告王安对第一项债务中本金550万元及相应的利罚息、诉讼费用(合同编号为xc67625406614106号项下的债务)在最高额3300万元范围内承担连带清偿责任。,0,0,0,0,0,0,1,0,0,0,1288
2012年11月16日，中山营业部清算组与原告福稻公司签订潮金信清算处置（2012）第0003号《债权转让合同》，将上述债权转让给原告福稻公司，并于2013年2月23日在《南方日报》上刊登债权转让暨催收公告，通知借款人和担保人并对借款人、担保人进行催收。,0,0,0,0,0,0,0,1,0,0,243
五份《开立银行承兑汇票合同》编号分别为：C101100178、C101100247、C101100395、C101100397、C101100427，交通银行同意开立的汇票金额分别为295.4万元、259万元、783万元、1162.6万元、204.8万元；,0,0,0,0,0,0,0,0,0,0,4988
2013年6月20日，工商银行依约向被告杰杰公司发放了贷款388万元。,0,1,0,0,0,0,0,0,0,0,4230
现原告诉请被告佳信公司向其偿还上述债务，于法有据，本院予以支持。,0,0,0,0,1,0,0,0,0,0,3818
依照法律规定金融资产管理公司受让国有商业银行债权后，对已承接的债权，可以在全国或者省级有影响的报纸上以发布催收公告的方式履行债权转让通知义务并以该方式取得诉讼时效中断（主张权利）的证据。,1,0,0,0,0,0,0,1,0,0,7035
2009年8月19日，东方资产公司与韩国全球投资有限公司Ⅱ签订《债权转让协议》，将涉案债权转让给韩国全球投资有限公司Ⅱ。,1,0,0,0,0,0,0,0,0,0,1906
该被转让的债权包括上述8笔贷款本金3159万元及其利息（该利息的具体金额未列明）。,1,0,0,0,0,0,0,0,0,0,3986
2014年5月4日，灵捷公司与平安银行签订编号为平银义分贷字第20140504第001号的《贷款合同》一份，约定：由平安银行向灵捷公司出借借款800万元，借款期限2014年5月4日至2014年11月4日，借款利息按贷款发放日的人民银行同期同档次贷款基准利率上浮30%，如遇基准利率调整时，在次月对应日作相应调整。,0,1,1,1,0,1,0,0,0,0,6222
经审理查明：2008年12月12日被告世纪巨隆有限公司与农商行巨各庄支行签署2008巨各庄企借00095号《借款合同》，约定被告世纪巨隆有限公司向农商行巨各庄支行借款5950000元，借款期限自2008年12月12日至2010年12月11日，借款利率为年利率8.7885%。,0,1,1,1,0,1,0,0,0,0,7024
据债权转让凭证记载，截至到2010年12月20日被告尚欠利息6488.16元，故被告还应向原告偿还利息6488.16元。,0,0,0,0,1,0,0,0,1,0,3266
二、浙江鑫和新型板材发展有限公司在本判决生效之日起十日内支付中国东方资产管理公司杭州办事处编号5514018《商业汇票承兑协议》项下的垫款本金4768080.50元，并支付该款自2014年8月29日起至实际还款日止按日万分之五利率计算的罚息。,0,0,0,0,1,0,0,0,0,0,4144
另查明，截止2006年6月30日的利息人民币597950.62元亦一并转让给原告。,1,0,0,0,0,0,0,0,0,0,1302
约定：牡丹区供销社将长城资产公司转让给该社的7份债权转让给原告石春静，受让的债权包中包含7户法人企业，转让费用为57万元。,1,0,0,0,0,0,0,0,0,0,4927
三、郑元忠在庄吉船业有限公司的破产重整程序终结后15日之内，对上述第一项条款中的债务未清偿部分继续承担连带偿还责任，但其对包括本案债务在内的编号为2010年保字第4418005号《最高额保证合同》项下所有主债务承担连带偿还责任的总额以122000万元为限；,0,0,0,0,0,0,1,0,0,0,1841
2002年11月29日，信达公司南宁办事处在《广西政法报》刊登了《债权转让暨催收公告》，告知了债权转让的情况并要求被告广西某某浦北塑料包装联营厂履行还款义务。,1,0,0,0,0,0,0,1,0,0,3357
现上述合同项下的债权已经全部转让给了原告威策公司，并已通知了被告叶红军，该债权转让已发生效力，担保该债权的抵押权也一并转让，故原告威策公司已依法取得了农行萧山分行原享有的上述债权及抵押权。,1,0,0,0,0,0,0,0,0,0,7011
本案一审案件受理费164713元，由中国华融资产管理股份有限公司深圳市分公司负担100元，由深圳市东浩投资有限公司、深圳市协敦投资发展有限公司负担164613元；,0,0,0,0,0,0,0,0,0,0,5032
借款合同签订当日，被告在农信社3万元的借款凭证上签字。,0,1,1,0,0,0,0,0,0,0,355
2010年5月20日，交通银行与被告药业公司签订了编号为101100070《借款合同》1份，约定“药业公司向交通银行借款1，300万元，用于资金周转，借款期限为1年，自2010年5月20日至2011年5月19日止，利息计算方式为基准利率上浮15%，于每月的20日结息，逾期借款罚息利率按借款利率上浮50%，并对应付未付利息计收复利”。,0,1,1,1,0,1,0,0,0,0,5003
同时，被告惠阳物业开发（集团）公司在上述《抵押贷款合同》以保证方身份进行签名盖章，因此，被告惠阳物业开发（集团）公司对被告惠阳物业开发（集团）实业发展公司向中国工商银行惠阳县支行的还款义务承担连带保证责任。,0,0,0,0,0,0,1,0,0,0,3632
本院认为，原告通过受让取得对被告福建省平和化工厂的债权及相关从权利，原告诉请被告归还尚欠借款本金40000元及至2004年8月17日止的利息11215.25元，事实清楚，证据充分，应予支持。,1,1,0,0,1,0,0,0,1,0,4334
2014年12月26日，江苏银行与东方资产公司签订《单户资产转让协议》，江苏银行将其对借款人宝瑞公司在JK063212000169、JK063212000124、JK063213000042《流动资金借款合同》项下的债权自交割日起转让给东方资产公司，截至转让基准日2014年10月21日该债权为本金余额3447962.06元及相应利息，且与该债权有关的全部从权利，包括但不限于保证债权、抵押权、质押权（如有），也同时由江苏银行转移至东方资产公司。,1,0,1,0,0,1,0,0,0,0,5810
之后，自2001年9月14日至2002年3月20日期间，以化建公司为借款人，分别向工行高州支行分七笔共计借款1938万元，其合同编号分别为2001年高州字第X号、X号、X号、X号，2002年高州字第X号、X号和X号。,0,1,1,1,1,1,0,0,0,0,2194
2013年6月14日，工行瑞安支行依约向被告瑞金铜铝公司发放了借款本金1400万元。,0,1,0,1,0,1,0,0,0,0,3454
2013年6月3日，工行瑞安支行与被告富达汽车公司签订了编号为2013年瑞安（保）字0048号《最高额保证合同》，约定由被告富达汽车公司担任保证人，在主债权自2013年6月3日至2015年6月3日期间内，在人民币1250万元最高余额内为工行瑞安支行与被告瑞金铜铝公司签订的所有借款融资等合同项下的债务提供连带责任保证。,0,0,1,0,0,0,1,0,0,1,295
中国长城资产管理公司福州办事处，于2005年11月15日依法在《福建日报》上对本案的债务人进行公告告知债权转让的事实并主张了债权。,1,0,0,0,0,0,0,0,0,0,6473
2000年6月17日，中国银行攀枝花分行向攀枝花市丝绸公司发出《担保权利转让通知单》，载明“…我方将贵方为上述借款合同设置的抵押担保合同项下的全部权利同时全部转让和委托给中国东方资产管理公司。,1,0,0,0,0,0,0,0,0,0,7192
三、姜满、赵林对无锡多满茂贸易有限公司的上述第一项还款承担连带责任。,0,0,0,0,0,0,1,0,0,0,2688
被告宏达公司、徐建中、范梅君作为涉案250万元借款的连带责任保证人，应对被告中兴公司的上述债务承担连带责任。,0,0,0,0,0,0,1,0,0,0,5551
原告主张2005年5月21日至2013年5月27日期间的罚息和复息均按日万分之二点一计算，该标准未违反法律规定，本院予以支持，具体的计算方法如下：罚息以尚欠借款本金1650000元为基数，复利以未按时偿付的利息为基数，分别按日万分之二点一从2005年5月21日计至2013年5月27日。,0,0,0,0,0,0,0,0,1,0,5292
2014年6月24日，原告与交通银行股份有限公司浙江省分行签订了一份《不良资产批量转让协议》，其中约定交通银行温州分行将其对南湖商业公司所享有的债权及相关权益转让给原告；,1,0,0,0,0,0,0,0,0,0,3116
内退人员改制费用根据韶峰集团现有标准和湖南省国有企业改革改制政策测算，初步为11900万元，包括预提至法定退休年龄的生活费、基本养老保险和基本医疗保险费、7级至10级工伤及大部分丧失劳动能力病残人员费用等（不包括救济费）。,0,0,0,0,0,0,0,0,0,0,3996
同时，忻州市华西纺织厂作为抵押人承诺自愿以其财产（白布37800米价值16万元，已办理抵押登记）为上述借款本金、利息、违约金等提供抵押担保直至其还清全部贷款为止。,0,0,0,0,0,0,0,0,0,0,6300
2000年9月18日，中国建设银行长兴县支行与浙江兴宝龙建材有限公司签订《贷款保证合同》，约定浙江兴宝龙建材有限公司对浙江省长兴水泥厂的借款本息等承担连带责任保证，保证期间为借款履行期限届满后两年。,0,0,0,1,0,0,1,0,0,1,3134
虽然《置业贷款合同》尚未到期，但因二被告自2014年9月27日起已未在履行还本付息的合同义务，且至今下落不明，已构成根本违约，故原告要求被告王进清偿借款本金1122425元的诉求，本院予以支持。,0,0,1,0,1,0,0,0,0,0,1671
如果未按本判决指定的期间履行给付金钱义务，应当依照《中华人民共和国民事诉讼法》第二百五十三条之规定，加倍支付迟延履行期间的债务利息。,0,0,0,0,0,0,0,0,0,0,18
五、李生、尹文佳对本判决第一项、第二项、第三项、第四项的债务承担连带清偿责任；,0,0,0,0,0,0,1,0,0,0,6165
诉讼时效应从2008年6月26日起算。,0,0,0,0,0,0,0,0,0,0,7248
二、被告应良玉、李其秋、王朝磊、温州三联集团有限公司、江西泽晖纸业有限公司对第一项付款义务承担连带清偿责任，但连带偿还上述债务与连带偿还编号分别为深发温龙额保字第20120605001-1、2、3、4、5号《最高额保证合同》所担保的其他债务的总和均不超过1000万元。,0,0,0,0,0,0,1,0,0,1,1204
对借款人逾期支付的利息按合同利率计收复利，借款逾期后按罚息利率计收复利。,0,0,0,0,0,0,0,0,0,0,904
借款利率以6个月为一期，一期一调整，分段计息。,0,0,0,0,0,0,0,0,0,0,6195
2005年7月20日，中国工商银行广东省分行与中国信达资产管理公司深圳办事处签订了《债权转让协议》，将上述《抵押贷款合同》及《短期借款合同》项下尚欠的本金280万元及相应利息的债权转让给中国信达资产管理公司深圳办事处。,1,0,1,0,0,0,0,0,0,0,3634
本院认为，企业信用报告中涉案借款的结清日期能够与原告中国工商银行股份有限公司余姚支行向原告转让债权时间相对应，且被告鑫思盛公司、毛朝来没有其他证据证明涉案借款已经实际清偿，故本院对该证据的真实性予以认定，对关联性不予认定。,0,0,0,0,0,0,0,0,0,0,42
此后的一系列债权转让亦在诉讼时效期间内进行了有效的催收，直至本案诉讼。,1,0,0,0,0,0,0,1,0,0,5666
